Timestamp,Please rate: Video 1's quality,Which incidents did Video 1 contain?,Please rate: Video 2's quality,Which incidents did Video 2 contain?,Please rate: Video 3's quality,Which incidents did Video 3 contain?,Please rate: Video 4's quality,Which incidents did Video 4 contain?,Please rate: Video 5's quality,Which incidents did Video 5 contain?,Please rate: Video 6's quality,Which incidents did Video 6 contain?,Please rate: Video 7's quality,Which incidents did Video 7 contain?,Please rate: Video 8's quality,Which incidents did Video 8 contain?,How did the quality damage affect your experience?,Is our guideline clear? Please tell us anything you got confused with.
11/17/2022 15:31:40,2,Freezing/Buffering,3,Freezing/Buffering,3,Freezing/Buffering,4,None,4,None,4,Freezing/Buffering,3,Freezing/Buffering,3,None,The freezing of the videos is really jarring. It makes it hard to enjoy the video.,I wasn't sure what the video quality question was asking for exactly. I went by resolution of the video and the presence of freezing to give a number from 1 to 5.
11/17/2022 15:34:20,4,Freezing/Buffering,3,Freezing/Buffering,4,Freezing/Buffering,3,Freezing/Buffering,4,None,4,None,5,Freezing/Buffering,5,Freezing/Buffering,,Yes! Perfectly clear
11/17/2022 15:34:33,3,Freezing/Buffering,3,Freezing/Buffering,3,Freezing/Buffering,5,Freezing/Buffering,5,None,4,None,3,Freezing/Buffering,4,Freezing/Buffering,"Annoyance, made it jarring and not able to follow videos train of thought.","Yes, very clear."
11/17/2022 15:36:48,2,Freezing/Buffering,3,Freezing/Buffering,2,Freezing/Buffering,3,Freezing/Buffering,5,None,3,Freezing/Buffering,1,Freezing/Buffering,5,None,"The freezing was annoying, but it did not bother me as much as the black and white static in the video with the baby.",I mistook the initial 'here is an example of stuttering' video as video 1. Other than that the instructions were clear. 
11/17/2022 15:38:51,3,Freezing/Buffering,3,Freezing/Buffering,4,Freezing/Buffering,4,Freezing/Buffering,5,None,3,Freezing/Buffering,3,Freezing/Buffering,4,Freezing/Buffering,Not much. The buffering was always very short and usually not in an important part of the video.,Yes.
11/17/2022 15:44:41,4,Freezing/Buffering,4,Freezing/Buffering,3,None,3,Freezing/Buffering,3,Freezing/Buffering,4,None,5,Freezing/Buffering,4,Freezing/Buffering,good,yes
11/17/2022 15:45:49,3,Freezing/Buffering,3,Freezing/Buffering,3,Freezing/Buffering,3,Freezing/Buffering,3,Freezing/Buffering,3,Freezing/Buffering,3,Freezing/Buffering,3,Freezing/Buffering,It was annoying,yes
11/17/2022 15:51:06,2,Freezing/Buffering,2,Freezing/Buffering,2,Freezing/Buffering,3,None,4,None,3,None,4,None,4,None,Made watching video annoying.,You could manually change video quality on youtube.
11/17/2022 16:09:53,1,Freezing/Buffering,2,None,2,None,1,None,1,None,2,None,2,None,2,None,None,yes
11/17/2022 20:23:58,3,None,3,None,3,None,3,None,3,None,3,None,3,None,3,None,,
11/17/2022 23:17:18,5,Freezing/Buffering,4,Freezing/Buffering,2,Freezing/Buffering,3,Freezing/Buffering,4,None,3,Freezing/Buffering,2,Freezing/Buffering,4,Freezing/Buffering,I liked the one that buffered during loading bc it was less noticeable,A little confused on what it means to be of quality. I was mostly basing it on resolution and my enjoyment