streaming_log,mos,content,encoding_profile,device,abr,trace_id
001.csv,0.762,AirShow,H264,hdtv,BB,0
002.csv,0.426,AirShow,H264,hdtv,BB,1
003.csv,0.563,AirShow,H264,hdtv,BB,2
004.csv,0.868,AirShow,H264,hdtv,BB,3
005.csv,-0.359,AirShow,H264,hdtv,BB,4
006.csv,1.385,AirShow,H264,hdtv,BB,5
007.csv,-0.078,AirShow,H264,hdtv,BB,6
008.csv,1.289,AirShow,H264,hdtv,Oracle,0
009.csv,1.034,AirShow,H264,hdtv,Oracle,1
010.csv,0.774,AirShow,H264,hdtv,Oracle,2
011.csv,1.132,AirShow,H264,hdtv,Oracle,3
012.csv,-0.374,AirShow,H264,hdtv,Oracle,4
013.csv,1.191,AirShow,H264,hdtv,Oracle,5
014.csv,-0.226,AirShow,H264,hdtv,Oracle,6
015.csv,1.184,AirShow,H264,hdtv,RB,0
016.csv,1.130,AirShow,H264,hdtv,RB,1
017.csv,0.649,AirShow,H264,hdtv,RB,2
018.csv,1.227,AirShow,H264,hdtv,RB,3
019.csv,-0.457,AirShow,H264,hdtv,RB,4
020.csv,1.610,AirShow,H264,hdtv,RB,5
021.csv,-0.356,AirShow,H264,hdtv,RB,6
022.csv,0.750,AirShow,H264,hdtv,VMAFViterbi,0
023.csv,0.450,AirShow,H264,hdtv,VMAFViterbi,1
024.csv,0.662,AirShow,H264,hdtv,VMAFViterbi,2
025.csv,0.088,AirShow,H264,hdtv,VMAFViterbi,3
026.csv,-0.478,AirShow,H264,hdtv,VMAFViterbi,4
027.csv,1.409,AirShow,H264,hdtv,VMAFViterbi,5
028.csv,-0.191,AirShow,H264,hdtv,VMAFViterbi,6
029.csv,0.993,AsianFusion,H264,hdtv,BB,0
030.csv,1.092,AsianFusion,H264,hdtv,BB,1
031.csv,0.584,AsianFusion,H264,hdtv,BB,2
032.csv,0.749,AsianFusion,H264,hdtv,BB,3
033.csv,-0.513,AsianFusion,H264,hdtv,BB,4
034.csv,1.167,AsianFusion,H264,hdtv,BB,5
035.csv,-0.081,AsianFusion,H264,hdtv,BB,6
036.csv,1.373,AsianFusion,H264,hdtv,Oracle,0
037.csv,1.059,AsianFusion,H264,hdtv,Oracle,1
038.csv,0.667,AsianFusion,H264,hdtv,Oracle,2
039.csv,1.207,AsianFusion,H264,hdtv,Oracle,3
040.csv,-0.111,AsianFusion,H264,hdtv,Oracle,4
041.csv,1.396,AsianFusion,H264,hdtv,Oracle,5
042.csv,-0.198,AsianFusion,H264,hdtv,Oracle,6
043.csv,1.364,AsianFusion,H264,hdtv,RB,0
044.csv,0.982,AsianFusion,H264,hdtv,RB,1
045.csv,0.590,AsianFusion,H264,hdtv,RB,2
046.csv,0.892,AsianFusion,H264,hdtv,RB,3
047.csv,-0.094,AsianFusion,H264,hdtv,RB,4
048.csv,1.562,AsianFusion,H264,hdtv,RB,5
049.csv,-0.460,AsianFusion,H264,hdtv,RB,6
050.csv,0.990,AsianFusion,H264,hdtv,VMAFViterbi,0
051.csv,1.085,AsianFusion,H264,hdtv,VMAFViterbi,1
052.csv,0.735,AsianFusion,H264,hdtv,VMAFViterbi,2
053.csv,1.025,AsianFusion,H264,hdtv,VMAFViterbi,3
054.csv,-0.328,AsianFusion,H264,hdtv,VMAFViterbi,4
055.csv,1.354,AsianFusion,H264,hdtv,VMAFViterbi,5
056.csv,-0.215,AsianFusion,H264,hdtv,VMAFViterbi,6
057.csv,0.354,Chimera1102347,H264,hdtv,BB,0
058.csv,0.126,Chimera1102347,H264,hdtv,BB,1
059.csv,-0.039,Chimera1102347,H264,hdtv,BB,2
060.csv,0.337,Chimera1102347,H264,hdtv,BB,3
061.csv,-0.683,Chimera1102347,H264,hdtv,BB,4
062.csv,1.123,Chimera1102347,H264,hdtv,BB,5
063.csv,-0.622,Chimera1102347,H264,hdtv,BB,6
064.csv,0.557,Chimera1102347,H264,hdtv,Oracle,0
065.csv,0.516,Chimera1102347,H264,hdtv,Oracle,1
066.csv,0.261,Chimera1102347,H264,hdtv,Oracle,2
067.csv,0.687,Chimera1102347,H264,hdtv,Oracle,3
068.csv,-0.405,Chimera1102347,H264,hdtv,Oracle,4
069.csv,0.807,Chimera1102347,H264,hdtv,Oracle,5
070.csv,-0.673,Chimera1102347,H264,hdtv,Oracle,6
071.csv,0.393,Chimera1102347,H264,hdtv,RB,0
072.csv,0.538,Chimera1102347,H264,hdtv,RB,1
073.csv,0.138,Chimera1102347,H264,hdtv,RB,2
074.csv,0.579,Chimera1102347,H264,hdtv,RB,3
075.csv,-0.749,Chimera1102347,H264,hdtv,RB,4
076.csv,1.092,Chimera1102347,H264,hdtv,RB,5
077.csv,-0.938,Chimera1102347,H264,hdtv,RB,6
078.csv,0.587,Chimera1102347,H264,hdtv,VMAFViterbi,0
079.csv,0.165,Chimera1102347,H264,hdtv,VMAFViterbi,1
080.csv,-0.091,Chimera1102347,H264,hdtv,VMAFViterbi,2
081.csv,-0.602,Chimera1102347,H264,hdtv,VMAFViterbi,3
082.csv,-0.618,Chimera1102347,H264,hdtv,VMAFViterbi,4
083.csv,1.135,Chimera1102347,H264,hdtv,VMAFViterbi,5
084.csv,-0.810,Chimera1102347,H264,hdtv,VMAFViterbi,6
085.csv,0.521,Chimera1102353,H264,hdtv,BB,0
086.csv,-0.331,Chimera1102353,H264,hdtv,BB,1
087.csv,-0.519,Chimera1102353,H264,hdtv,BB,2
088.csv,-0.028,Chimera1102353,H264,hdtv,BB,3
089.csv,-0.930,Chimera1102353,H264,hdtv,BB,4
090.csv,0.577,Chimera1102353,H264,hdtv,BB,5
091.csv,-0.841,Chimera1102353,H264,hdtv,BB,6
092.csv,0.762,Chimera1102353,H264,hdtv,Oracle,0
093.csv,0.560,Chimera1102353,H264,hdtv,Oracle,1
094.csv,0.277,Chimera1102353,H264,hdtv,Oracle,2
095.csv,0.737,Chimera1102353,H264,hdtv,Oracle,3
096.csv,-0.524,Chimera1102353,H264,hdtv,Oracle,4
097.csv,1.018,Chimera1102353,H264,hdtv,Oracle,5
098.csv,0.027,Chimera1102353,H264,hdtv,Oracle,6
099.csv,0.195,Chimera1102353,H264,hdtv,RB,0
100.csv,0.638,Chimera1102353,H264,hdtv,RB,1
101.csv,0.416,Chimera1102353,H264,hdtv,RB,2
102.csv,0.465,Chimera1102353,H264,hdtv,RB,3
103.csv,-0.459,Chimera1102353,H264,hdtv,RB,4
104.csv,1.044,Chimera1102353,H264,hdtv,RB,5
105.csv,-0.296,Chimera1102353,H264,hdtv,RB,6
106.csv,0.525,Chimera1102353,H264,hdtv,VMAFViterbi,0
107.csv,0.308,Chimera1102353,H264,hdtv,VMAFViterbi,1
108.csv,0.287,Chimera1102353,H264,hdtv,VMAFViterbi,2
109.csv,0.270,Chimera1102353,H264,hdtv,VMAFViterbi,3
110.csv,-0.699,Chimera1102353,H264,hdtv,VMAFViterbi,4
111.csv,0.786,Chimera1102353,H264,hdtv,VMAFViterbi,5
112.csv,-0.202,Chimera1102353,H264,hdtv,VMAFViterbi,6
113.csv,0.873,CosmosLaundromat,H264,hdtv,BB,0
114.csv,0.973,CosmosLaundromat,H264,hdtv,BB,1
115.csv,0.364,CosmosLaundromat,H264,hdtv,BB,2
116.csv,0.516,CosmosLaundromat,H264,hdtv,BB,3
117.csv,-0.749,CosmosLaundromat,H264,hdtv,BB,4
118.csv,1.087,CosmosLaundromat,H264,hdtv,BB,5
119.csv,-0.783,CosmosLaundromat,H264,hdtv,BB,6
120.csv,1.035,CosmosLaundromat,H264,hdtv,Oracle,0
121.csv,0.984,CosmosLaundromat,H264,hdtv,Oracle,1
122.csv,0.762,CosmosLaundromat,H264,hdtv,Oracle,2
123.csv,1.044,CosmosLaundromat,H264,hdtv,Oracle,3
124.csv,-0.566,CosmosLaundromat,H264,hdtv,Oracle,4
125.csv,1.474,CosmosLaundromat,H264,hdtv,Oracle,5
126.csv,-0.473,CosmosLaundromat,H264,hdtv,Oracle,6
127.csv,0.396,CosmosLaundromat,H264,hdtv,RB,0
128.csv,0.642,CosmosLaundromat,H264,hdtv,RB,1
129.csv,0.270,CosmosLaundromat,H264,hdtv,RB,2
130.csv,0.379,CosmosLaundromat,H264,hdtv,RB,3
131.csv,-0.413,CosmosLaundromat,H264,hdtv,RB,4
132.csv,1.445,CosmosLaundromat,H264,hdtv,RB,5
133.csv,-0.976,CosmosLaundromat,H264,hdtv,RB,6
134.csv,0.778,CosmosLaundromat,H264,hdtv,VMAFViterbi,0
135.csv,0.869,CosmosLaundromat,H264,hdtv,VMAFViterbi,1
136.csv,0.341,CosmosLaundromat,H264,hdtv,VMAFViterbi,2
137.csv,0.781,CosmosLaundromat,H264,hdtv,VMAFViterbi,3
138.csv,-0.509,CosmosLaundromat,H264,hdtv,VMAFViterbi,4
139.csv,1.508,CosmosLaundromat,H264,hdtv,VMAFViterbi,5
140.csv,-0.769,CosmosLaundromat,H264,hdtv,VMAFViterbi,6
141.csv,-0.014,ElFuenteDance,H264,hdtv,BB,0
142.csv,-0.115,ElFuenteDance,H264,hdtv,BB,1
143.csv,-0.777,ElFuenteDance,H264,hdtv,BB,2
144.csv,-0.137,ElFuenteDance,H264,hdtv,BB,3
145.csv,-1.280,ElFuenteDance,H264,hdtv,BB,4
146.csv,0.474,ElFuenteDance,H264,hdtv,BB,5
147.csv,-1.459,ElFuenteDance,H264,hdtv,BB,6
148.csv,0.093,ElFuenteDance,H264,hdtv,Oracle,0
149.csv,-0.025,ElFuenteDance,H264,hdtv,Oracle,1
150.csv,-0.464,ElFuenteDance,H264,hdtv,Oracle,2
151.csv,0.306,ElFuenteDance,H264,hdtv,Oracle,3
152.csv,-1.299,ElFuenteDance,H264,hdtv,Oracle,4
153.csv,0.605,ElFuenteDance,H264,hdtv,Oracle,5
154.csv,-1.619,ElFuenteDance,H264,hdtv,Oracle,6
155.csv,-0.187,ElFuenteDance,H264,hdtv,RB,0
156.csv,-0.376,ElFuenteDance,H264,hdtv,RB,1
157.csv,-0.790,ElFuenteDance,H264,hdtv,RB,2
158.csv,-0.651,ElFuenteDance,H264,hdtv,RB,3
159.csv,-1.426,ElFuenteDance,H264,hdtv,RB,4
160.csv,0.781,ElFuenteDance,H264,hdtv,RB,5
161.csv,-1.385,ElFuenteDance,H264,hdtv,RB,6
162.csv,-0.143,ElFuenteDance,H264,hdtv,VMAFViterbi,0
163.csv,-0.263,ElFuenteDance,H264,hdtv,VMAFViterbi,1
164.csv,-0.900,ElFuenteDance,H264,hdtv,VMAFViterbi,2
165.csv,-0.616,ElFuenteDance,H264,hdtv,VMAFViterbi,3
166.csv,-1.233,ElFuenteDance,H264,hdtv,VMAFViterbi,4
167.csv,0.495,ElFuenteDance,H264,hdtv,VMAFViterbi,5
168.csv,-1.555,ElFuenteDance,H264,hdtv,VMAFViterbi,6
169.csv,0.054,ElFuenteMask,H264,hdtv,BB,0
170.csv,-0.142,ElFuenteMask,H264,hdtv,BB,1
171.csv,-0.317,ElFuenteMask,H264,hdtv,BB,2
172.csv,0.185,ElFuenteMask,H264,hdtv,BB,3
173.csv,-1.105,ElFuenteMask,H264,hdtv,BB,4
174.csv,0.538,ElFuenteMask,H264,hdtv,BB,5
175.csv,-0.697,ElFuenteMask,H264,hdtv,BB,6
176.csv,0.757,ElFuenteMask,H264,hdtv,Oracle,0
177.csv,0.178,ElFuenteMask,H264,hdtv,Oracle,1
178.csv,-0.158,ElFuenteMask,H264,hdtv,Oracle,2
179.csv,0.450,ElFuenteMask,H264,hdtv,Oracle,3
180.csv,-0.923,ElFuenteMask,H264,hdtv,Oracle,4
181.csv,1.254,ElFuenteMask,H264,hdtv,Oracle,5
182.csv,-0.802,ElFuenteMask,H264,hdtv,Oracle,6
183.csv,0.300,ElFuenteMask,H264,hdtv,RB,0
184.csv,0.108,ElFuenteMask,H264,hdtv,RB,1
185.csv,-0.283,ElFuenteMask,H264,hdtv,RB,2
186.csv,0.296,ElFuenteMask,H264,hdtv,RB,3
187.csv,-0.889,ElFuenteMask,H264,hdtv,RB,4
188.csv,1.061,ElFuenteMask,H264,hdtv,RB,5
189.csv,-0.962,ElFuenteMask,H264,hdtv,RB,6
190.csv,0.353,ElFuenteMask,H264,hdtv,VMAFViterbi,0
191.csv,0.198,ElFuenteMask,H264,hdtv,VMAFViterbi,1
192.csv,-0.150,ElFuenteMask,H264,hdtv,VMAFViterbi,2
193.csv,-0.405,ElFuenteMask,H264,hdtv,VMAFViterbi,3
194.csv,-0.831,ElFuenteMask,H264,hdtv,VMAFViterbi,4
195.csv,1.203,ElFuenteMask,H264,hdtv,VMAFViterbi,5
196.csv,-0.946,ElFuenteMask,H264,hdtv,VMAFViterbi,6
197.csv,-0.235,GTA,H264,hdtv,BB,0
198.csv,-0.684,GTA,H264,hdtv,BB,1
199.csv,-1.124,GTA,H264,hdtv,BB,2
200.csv,-0.374,GTA,H264,hdtv,BB,3
201.csv,-1.518,GTA,H264,hdtv,BB,4
202.csv,-0.178,GTA,H264,hdtv,BB,5
203.csv,-1.534,GTA,H264,hdtv,BB,6
204.csv,-0.242,GTA,H264,hdtv,Oracle,0
205.csv,-0.656,GTA,H264,hdtv,Oracle,1
206.csv,-0.940,GTA,H264,hdtv,Oracle,2
207.csv,-0.084,GTA,H264,hdtv,Oracle,3
208.csv,-1.652,GTA,H264,hdtv,Oracle,4
209.csv,0.342,GTA,H264,hdtv,Oracle,5
210.csv,-1.287,GTA,H264,hdtv,Oracle,6
211.csv,-0.267,GTA,H264,hdtv,RB,0
212.csv,-0.680,GTA,H264,hdtv,RB,1
213.csv,-1.270,GTA,H264,hdtv,RB,2
214.csv,-0.834,GTA,H264,hdtv,RB,3
215.csv,-1.706,GTA,H264,hdtv,RB,4
216.csv,0.347,GTA,H264,hdtv,RB,5
217.csv,-1.671,GTA,H264,hdtv,RB,6
218.csv,-0.428,GTA,H264,hdtv,VMAFViterbi,0
219.csv,-0.939,GTA,H264,hdtv,VMAFViterbi,1
220.csv,-0.987,GTA,H264,hdtv,VMAFViterbi,2
221.csv,-0.719,GTA,H264,hdtv,VMAFViterbi,3
222.csv,-1.633,GTA,H264,hdtv,VMAFViterbi,4
223.csv,0.279,GTA,H264,hdtv,VMAFViterbi,5
224.csv,-1.602,GTA,H264,hdtv,VMAFViterbi,6
225.csv,0.875,MeridianConversation,H264,hdtv,BB,0
226.csv,0.635,MeridianConversation,H264,hdtv,BB,1
227.csv,0.503,MeridianConversation,H264,hdtv,BB,2
228.csv,1.030,MeridianConversation,H264,hdtv,BB,3
229.csv,-0.225,MeridianConversation,H264,hdtv,BB,4
230.csv,1.272,MeridianConversation,H264,hdtv,BB,5
231.csv,-0.065,MeridianConversation,H264,hdtv,BB,6
232.csv,1.512,MeridianConversation,H264,hdtv,Oracle,0
233.csv,1.287,MeridianConversation,H264,hdtv,Oracle,1
234.csv,0.786,MeridianConversation,H264,hdtv,Oracle,2
235.csv,1.402,MeridianConversation,H264,hdtv,Oracle,3
236.csv,-0.204,MeridianConversation,H264,hdtv,Oracle,4
237.csv,1.640,MeridianConversation,H264,hdtv,Oracle,5
238.csv,-0.002,MeridianConversation,H264,hdtv,Oracle,6
239.csv,1.221,MeridianConversation,H264,hdtv,RB,0
240.csv,1.037,MeridianConversation,H264,hdtv,RB,1
241.csv,0.431,MeridianConversation,H264,hdtv,RB,2
242.csv,0.994,MeridianConversation,H264,hdtv,RB,3
243.csv,-0.425,MeridianConversation,H264,hdtv,RB,4
244.csv,1.801,MeridianConversation,H264,hdtv,RB,5
245.csv,-0.397,MeridianConversation,H264,hdtv,RB,6
246.csv,1.244,MeridianConversation,H264,hdtv,VMAFViterbi,0
247.csv,0.624,MeridianConversation,H264,hdtv,VMAFViterbi,1
248.csv,0.804,MeridianConversation,H264,hdtv,VMAFViterbi,2
249.csv,1.284,MeridianConversation,H264,hdtv,VMAFViterbi,3
250.csv,-0.294,MeridianConversation,H264,hdtv,VMAFViterbi,4
251.csv,1.256,MeridianConversation,H264,hdtv,VMAFViterbi,5
252.csv,-0.229,MeridianConversation,H264,hdtv,VMAFViterbi,6
253.csv,0.580,MeridianDriving,H264,hdtv,BB,0
254.csv,0.313,MeridianDriving,H264,hdtv,BB,1
255.csv,-0.256,MeridianDriving,H264,hdtv,BB,2
256.csv,0.326,MeridianDriving,H264,hdtv,BB,3
257.csv,-0.372,MeridianDriving,H264,hdtv,BB,4
258.csv,0.888,MeridianDriving,H264,hdtv,BB,5
259.csv,-0.183,MeridianDriving,H264,hdtv,BB,6
260.csv,1.151,MeridianDriving,H264,hdtv,Oracle,0
261.csv,0.780,MeridianDriving,H264,hdtv,Oracle,1
262.csv,0.303,MeridianDriving,H264,hdtv,Oracle,2
263.csv,0.799,MeridianDriving,H264,hdtv,Oracle,3
264.csv,-0.474,MeridianDriving,H264,hdtv,Oracle,4
265.csv,1.233,MeridianDriving,H264,hdtv,Oracle,5
266.csv,-0.125,MeridianDriving,H264,hdtv,Oracle,6
267.csv,0.534,MeridianDriving,H264,hdtv,RB,0
268.csv,0.897,MeridianDriving,H264,hdtv,RB,1
269.csv,0.319,MeridianDriving,H264,hdtv,RB,2
270.csv,0.561,MeridianDriving,H264,hdtv,RB,3
271.csv,-0.632,MeridianDriving,H264,hdtv,RB,4
272.csv,1.127,MeridianDriving,H264,hdtv,RB,5
273.csv,-0.415,MeridianDriving,H264,hdtv,RB,6
274.csv,0.923,MeridianDriving,H264,hdtv,VMAFViterbi,0
275.csv,0.701,MeridianDriving,H264,hdtv,VMAFViterbi,1
276.csv,0.343,MeridianDriving,H264,hdtv,VMAFViterbi,2
277.csv,0.543,MeridianDriving,H264,hdtv,VMAFViterbi,3
278.csv,-0.660,MeridianDriving,H264,hdtv,VMAFViterbi,4
279.csv,1.155,MeridianDriving,H264,hdtv,VMAFViterbi,5
280.csv,-0.296,MeridianDriving,H264,hdtv,VMAFViterbi,6
281.csv,-0.384,Skateboarding,H264,hdtv,BB,0
282.csv,-0.402,Skateboarding,H264,hdtv,BB,1
283.csv,-0.517,Skateboarding,H264,hdtv,BB,2
284.csv,-0.312,Skateboarding,H264,hdtv,BB,3
285.csv,-1.099,Skateboarding,H264,hdtv,BB,4
286.csv,0.064,Skateboarding,H264,hdtv,BB,5
287.csv,-1.051,Skateboarding,H264,hdtv,BB,6
288.csv,0.162,Skateboarding,H264,hdtv,Oracle,0
289.csv,-0.153,Skateboarding,H264,hdtv,Oracle,1
290.csv,-0.335,Skateboarding,H264,hdtv,Oracle,2
291.csv,0.117,Skateboarding,H264,hdtv,Oracle,3
292.csv,-0.997,Skateboarding,H264,hdtv,Oracle,4
293.csv,0.530,Skateboarding,H264,hdtv,Oracle,5
294.csv,-0.993,Skateboarding,H264,hdtv,Oracle,6
295.csv,-0.009,Skateboarding,H264,hdtv,RB,0
296.csv,0.045,Skateboarding,H264,hdtv,RB,1
297.csv,-0.713,Skateboarding,H264,hdtv,RB,2
298.csv,0.118,Skateboarding,H264,hdtv,RB,3
299.csv,-1.198,Skateboarding,H264,hdtv,RB,4
300.csv,0.916,Skateboarding,H264,hdtv,RB,5
301.csv,-0.967,Skateboarding,H264,hdtv,RB,6
302.csv,-0.122,Skateboarding,H264,hdtv,VMAFViterbi,0
303.csv,-0.231,Skateboarding,H264,hdtv,VMAFViterbi,1
304.csv,-0.503,Skateboarding,H264,hdtv,VMAFViterbi,2
305.csv,0.138,Skateboarding,H264,hdtv,VMAFViterbi,3
306.csv,-1.013,Skateboarding,H264,hdtv,VMAFViterbi,4
307.csv,0.636,Skateboarding,H264,hdtv,VMAFViterbi,5
308.csv,-1.077,Skateboarding,H264,hdtv,VMAFViterbi,6
309.csv,-0.793,Soccer,H264,hdtv,BB,0
310.csv,-0.883,Soccer,H264,hdtv,BB,1
311.csv,-1.378,Soccer,H264,hdtv,BB,2
312.csv,-0.751,Soccer,H264,hdtv,BB,3
313.csv,-1.666,Soccer,H264,hdtv,BB,4
314.csv,0.376,Soccer,H264,hdtv,BB,5
315.csv,-1.649,Soccer,H264,hdtv,BB,6
316.csv,-0.214,Soccer,H264,hdtv,Oracle,0
317.csv,-0.752,Soccer,H264,hdtv,Oracle,1
318.csv,-1.288,Soccer,H264,hdtv,Oracle,2
319.csv,-0.123,Soccer,H264,hdtv,Oracle,3
320.csv,-1.676,Soccer,H264,hdtv,Oracle,4
321.csv,0.636,Soccer,H264,hdtv,Oracle,5
322.csv,-1.666,Soccer,H264,hdtv,Oracle,6
323.csv,-0.394,Soccer,H264,hdtv,RB,0
324.csv,-0.771,Soccer,H264,hdtv,RB,1
325.csv,-1.186,Soccer,H264,hdtv,RB,2
326.csv,-0.674,Soccer,H264,hdtv,RB,3
327.csv,-1.970,Soccer,H264,hdtv,RB,4
328.csv,0.460,Soccer,H264,hdtv,RB,5
329.csv,-1.714,Soccer,H264,hdtv,RB,6
330.csv,-0.655,Soccer,H264,hdtv,VMAFViterbi,0
331.csv,-0.727,Soccer,H264,hdtv,VMAFViterbi,1
332.csv,-1.105,Soccer,H264,hdtv,VMAFViterbi,2
333.csv,-0.818,Soccer,H264,hdtv,VMAFViterbi,3
334.csv,-1.770,Soccer,H264,hdtv,VMAFViterbi,4
335.csv,0.274,Soccer,H264,hdtv,VMAFViterbi,5
336.csv,-1.730,Soccer,H264,hdtv,VMAFViterbi,6
337.csv,0.273,Sparks,H264,hdtv,BB,0
338.csv,-0.369,Sparks,H264,hdtv,BB,1
339.csv,-0.380,Sparks,H264,hdtv,BB,2
340.csv,0.154,Sparks,H264,hdtv,BB,3
341.csv,-1.227,Sparks,H264,hdtv,BB,4
342.csv,0.035,Sparks,H264,hdtv,BB,5
343.csv,-1.440,Sparks,H264,hdtv,BB,6
344.csv,0.443,Sparks,H264,hdtv,Oracle,0
345.csv,-0.217,Sparks,H264,hdtv,Oracle,1
346.csv,-0.027,Sparks,H264,hdtv,Oracle,2
347.csv,0.508,Sparks,H264,hdtv,Oracle,3
348.csv,-0.879,Sparks,H264,hdtv,Oracle,4
349.csv,0.879,Sparks,H264,hdtv,Oracle,5
350.csv,-1.448,Sparks,H264,hdtv,Oracle,6
351.csv,0.398,Sparks,H264,hdtv,RB,0
352.csv,0.522,Sparks,H264,hdtv,RB,1
353.csv,-0.213,Sparks,H264,hdtv,RB,2
354.csv,0.427,Sparks,H264,hdtv,RB,3
355.csv,-0.777,Sparks,H264,hdtv,RB,4
356.csv,0.959,Sparks,H264,hdtv,RB,5
357.csv,-1.473,Sparks,H264,hdtv,RB,6
358.csv,0.136,Sparks,H264,hdtv,VMAFViterbi,0
359.csv,0.109,Sparks,H264,hdtv,VMAFViterbi,1
360.csv,-0.254,Sparks,H264,hdtv,VMAFViterbi,2
361.csv,0.479,Sparks,H264,hdtv,VMAFViterbi,3
362.csv,-1.048,Sparks,H264,hdtv,VMAFViterbi,4
363.csv,1.002,Sparks,H264,hdtv,VMAFViterbi,5
364.csv,-1.296,Sparks,H264,hdtv,VMAFViterbi,6
365.csv,-0.375,TearsOfSteelRobot,H264,hdtv,BB,0
366.csv,-0.401,TearsOfSteelRobot,H264,hdtv,BB,1
367.csv,-0.777,TearsOfSteelRobot,H264,hdtv,BB,2
368.csv,-0.343,TearsOfSteelRobot,H264,hdtv,BB,3
369.csv,-1.315,TearsOfSteelRobot,H264,hdtv,BB,4
370.csv,0.039,TearsOfSteelRobot,H264,hdtv,BB,5
371.csv,-1.564,TearsOfSteelRobot,H264,hdtv,BB,6
372.csv,0.173,TearsOfSteelRobot,H264,hdtv,Oracle,0
373.csv,-0.236,TearsOfSteelRobot,H264,hdtv,Oracle,1
374.csv,-0.536,TearsOfSteelRobot,H264,hdtv,Oracle,2
375.csv,-0.028,TearsOfSteelRobot,H264,hdtv,Oracle,3
376.csv,-1.265,TearsOfSteelRobot,H264,hdtv,Oracle,4
377.csv,0.602,TearsOfSteelRobot,H264,hdtv,Oracle,5
378.csv,-1.639,TearsOfSteelRobot,H264,hdtv,Oracle,6
379.csv,-0.047,TearsOfSteelRobot,H264,hdtv,RB,0
380.csv,-0.159,TearsOfSteelRobot,H264,hdtv,RB,1
381.csv,-0.778,TearsOfSteelRobot,H264,hdtv,RB,2
382.csv,-0.179,TearsOfSteelRobot,H264,hdtv,RB,3
383.csv,-1.334,TearsOfSteelRobot,H264,hdtv,RB,4
384.csv,1.127,TearsOfSteelRobot,H264,hdtv,RB,5
385.csv,-1.632,TearsOfSteelRobot,H264,hdtv,RB,6
386.csv,0.369,TearsOfSteelRobot,H264,hdtv,VMAFViterbi,0
387.csv,-0.517,TearsOfSteelRobot,H264,hdtv,VMAFViterbi,1
388.csv,-0.817,TearsOfSteelRobot,H264,hdtv,VMAFViterbi,2
389.csv,-0.433,TearsOfSteelRobot,H264,hdtv,VMAFViterbi,3
390.csv,-1.238,TearsOfSteelRobot,H264,hdtv,VMAFViterbi,4
391.csv,0.540,TearsOfSteelRobot,H264,hdtv,VMAFViterbi,5
392.csv,-1.570,TearsOfSteelRobot,H264,hdtv,VMAFViterbi,6
393.csv,0.485,TearsOfSteelStatic,H264,hdtv,BB,0
394.csv,0.473,TearsOfSteelStatic,H264,hdtv,BB,1
395.csv,0.008,TearsOfSteelStatic,H264,hdtv,BB,2
396.csv,0.467,TearsOfSteelStatic,H264,hdtv,BB,3
397.csv,-0.624,TearsOfSteelStatic,H264,hdtv,BB,4
398.csv,0.905,TearsOfSteelStatic,H264,hdtv,BB,5
399.csv,-0.663,TearsOfSteelStatic,H264,hdtv,BB,6
400.csv,0.836,TearsOfSteelStatic,H264,hdtv,Oracle,0
401.csv,0.501,TearsOfSteelStatic,H264,hdtv,Oracle,1
402.csv,0.076,TearsOfSteelStatic,H264,hdtv,Oracle,2
403.csv,0.557,TearsOfSteelStatic,H264,hdtv,Oracle,3
404.csv,-0.422,TearsOfSteelStatic,H264,hdtv,Oracle,4
405.csv,1.122,TearsOfSteelStatic,H264,hdtv,Oracle,5
406.csv,-0.586,TearsOfSteelStatic,H264,hdtv,Oracle,6
407.csv,0.517,TearsOfSteelStatic,H264,hdtv,RB,0
408.csv,0.536,TearsOfSteelStatic,H264,hdtv,RB,1
409.csv,0.046,TearsOfSteelStatic,H264,hdtv,RB,2
410.csv,0.465,TearsOfSteelStatic,H264,hdtv,RB,3
411.csv,-0.702,TearsOfSteelStatic,H264,hdtv,RB,4
412.csv,1.160,TearsOfSteelStatic,H264,hdtv,RB,5
413.csv,-0.655,TearsOfSteelStatic,H264,hdtv,RB,6
414.csv,0.812,TearsOfSteelStatic,H264,hdtv,VMAFViterbi,0
415.csv,0.642,TearsOfSteelStatic,H264,hdtv,VMAFViterbi,1
416.csv,0.063,TearsOfSteelStatic,H264,hdtv,VMAFViterbi,2
417.csv,0.162,TearsOfSteelStatic,H264,hdtv,VMAFViterbi,3
418.csv,-0.867,TearsOfSteelStatic,H264,hdtv,VMAFViterbi,4
419.csv,1.152,TearsOfSteelStatic,H264,hdtv,VMAFViterbi,5
420.csv,-0.509,TearsOfSteelStatic,H264,hdtv,VMAFViterbi,6
